seed,n_knapsacks,n_items,alpha,branching_rule,node_selection,best_solution,best_bound,runtime,depth,number_of_left_turns,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
4,2,5,0.8,kolasar_rule,depth_first,15,15.75,0.00016951560974121094,2,0,2,True,2,15.0,0.0
4,2,5,0.8,critical_element,breadth_first,15,15.75,0.0001666545867919922,2,0,2,True,2,15.0,0.0
4,2,5,0.8,profit_per_weight_ratio,breadth_first,15,15.75,0.00018143653869628906,2,0,2,True,2,15.0,0.0
4,2,5,0.8,kolasar_rule,breadth_first,15,15.75,0.00016880035400390625,2,0,2,True,2,15.0,0.0
4,2,5,0.95,critical_element,greatest_upper_bound,15,15.75,0.00016617774963378906,2,0,2,True,2,15.0,0.0
4,2,5,0.95,profit_per_weight_ratio,greatest_upper_bound,15,15.75,0.00017595291137695312,2,0,2,True,2,15.0,0.0
4,2,5,0.95,kolasar_rule,greatest_upper_bound,15,15.75,0.00016832351684570312,2,0,2,True,2,15.0,0.0
4,2,5,0.95,critical_element,depth_first,15,15.75,0.0001659393310546875,2,0,2,True,2,15.0,0.0
4,2,5,0.95,profit_per_weight_ratio,depth_first,15,15.75,0.00016617774963378906,2,0,2,True,2,15.0,0.0
4,2,5,0.95,kolasar_rule,depth_first,15,15.75,0.0001697540283203125,2,0,2,True,2,15.0,0.0
4,2,5,0.95,critical_element,breadth_first,15,15.75,0.00017499923706054688,2,0,2,True,2,15.0,0.0
4,2,5,0.95,profit_per_weight_ratio,breadth_first,15,15.75,0.00016617774963378906,2,0,2,True,2,15.0,0.0
4,2,5,0.95,kolasar_rule,breadth_first,15,15.75,0.00016808509826660156,2,0,2,True,2,15.0,0.0
4,2,5,0.97,critical_element,greatest_upper_bound,15,15.0,0.0002319812774658203,3,1,4,True,2,15.0,0.0
4,2,5,0.97,profit_per_weight_ratio,greatest_upper_bound,15,15.0,0.00023221969604492188,3,1,4,True,2,15.0,0.0
4,2,5,0.97,kolasar_rule,greatest_upper_bound,15,15.0,0.0002377033233642578,3,1,4,True,2,15.0,0.0
4,2,5,0.97,critical_element,depth_first,15,15.0,0.00022935867309570312,3,1,4,True,2,15.0,0.0
4,2,5,0.97,profit_per_weight_ratio,depth_first,15,15.0,0.0002346038818359375,3,1,4,True,2,15.0,0.0
4,2,5,0.97,kolasar_rule,depth_first,15,15.0,0.00023865699768066406,3,1,4,True,2,15.0,0.0
4,2,5,0.97,critical_element,breadth_first,15,15.0,0.00023221969604492188,3,1,4,True,2,15.0,0.0
4,2,5,0.97,profit_per_weight_ratio,breadth_first,15,15.0,0.0002391338348388672,3,1,4,True,2,15.0,0.0
