seed,n_machines,n_jobs,epsilon,branching_rule,node_selection,rounding_rule,lower_bound,best_solution,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
1,2,5,0.01,max_min_proc,depth_first,best_matching,lin_relax,80,0.0111448764801025,2,4,True,2,80,0
1,2,5,0.01,max_min_proc,depth_first,all_to_shortest,lin_relax,80,0.0111522674560547,2,4,True,2,80,0
1,2,5,0.01,max_min_proc,depth_first,best_matching,bin_search,80,0.0576181411743164,2,4,True,4,80,0
1,2,5,0.01,max_min_proc,depth_first,all_to_shortest,bin_search,80,0.0571880340576172,2,4,True,4,80,0
1,2,5,0.01,max_min_proc,breadth_first,best_matching,lin_relax,80,0.0110702514648438,2,4,True,2,80,0
1,2,5,0.01,max_min_proc,breadth_first,all_to_shortest,lin_relax,80,0.0110275745391846,2,4,True,2,80,0
1,2,5,0.01,max_min_proc,breadth_first,best_matching,bin_search,80,0.0577592849731445,2,4,True,4,80,0
1,2,5,0.01,max_min_proc,breadth_first,all_to_shortest,bin_search,80,0.0578856468200684,2,4,True,4,80,0
2,2,5,0.5,max_min_proc,lowest_lower_bound,best_matching,lin_relax,79,0.00545001029968262,0,2,True,2,79,0
2,2,5,0.5,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,79,0.00520443916320801,0,2,True,2,79,0
2,2,5,0.5,max_min_proc,lowest_lower_bound,best_matching,bin_search,79,0.0306668281555176,0,2,True,2,79,0
2,2,5,0.5,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,79,0.0306687355041504,0,2,True,2,79,0
2,2,5,0.5,max_min_proc,depth_first,best_matching,lin_relax,79,0.00505208969116211,0,2,True,2,79,0
2,2,5,0.5,max_min_proc,depth_first,all_to_shortest,lin_relax,79,0.00499320030212402,0,2,True,2,79,0
2,2,5,0.5,max_min_proc,depth_first,best_matching,bin_search,79,0.030590295791626,0,2,True,2,79,0
2,2,5,0.5,max_min_proc,depth_first,all_to_shortest,bin_search,79,0.0306181907653809,0,2,True,2,79,0
2,2,5,0.5,max_min_proc,breadth_first,best_matching,lin_relax,79,0.00500321388244629,0,2,True,2,79,0
2,2,5,0.5,max_min_proc,breadth_first,all_to_shortest,lin_relax,79,0.00503015518188477,0,2,True,2,79,0
2,2,5,0.5,max_min_proc,breadth_first,best_matching,bin_search,79,0.0306205749511719,0,2,True,2,79,0
2,2,5,0.5,max_min_proc,breadth_first,all_to_shortest,bin_search,79,0.0306253433227539,0,2,True,2,79,0
2,2,5,0.1,max_min_proc,lowest_lower_bound,best_matching,lin_relax,79,0.00812172889709473,1,3,True,2,79,0
2,2,5,0.1,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,79,0.00803256034851074,1,3,True,2,79,0
2,2,5,0.1,max_min_proc,lowest_lower_bound,best_matching,bin_search,79,0.0307004451751709,0,2,True,2,79,0
2,2,5,0.1,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,79,0.0307328701019287,0,2,True,2,79,0
2,2,5,0.1,max_min_proc,depth_first,best_matching,lin_relax,79,0.0081632137298584,1,3,True,2,79,0
2,2,5,0.1,max_min_proc,depth_first,all_to_shortest,lin_relax,79,0.00808358192443848,1,3,True,2,79,0
2,2,5,0.1,max_min_proc,depth_first,best_matching,bin_search,79,0.0306870937347412,0,2,True,2,79,0
2,2,5,0.1,max_min_proc,depth_first,all_to_shortest,bin_search,79,0.0306169986724854,0,2,True,2,79,0
2,2,5,0.1,max_min_proc,breadth_first,best_matching,lin_relax,79,0.00815057754516602,1,3,True,2,79,0
2,2,5,0.1,max_min_proc,breadth_first,all_to_shortest,lin_relax,79,0.00805449485778809,1,3,True,2,79,0
2,2,5,0.1,max_min_proc,breadth_first,best_matching,bin_search,79,0.0307290554046631,0,2,True,2,79,0
2,2,5,0.1,max_min_proc,breadth_first,all_to_shortest,bin_search,79,0.0307400226593018,0,2,True,2,79,0
2,2,5,0.05,max_min_proc,lowest_lower_bound,best_matching,lin_relax,79,0.00814199447631836,1,3,True,2,79,0
2,2,5,0.05,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,79,0.00811004638671875,1,3,True,2,79,0
2,2,5,0.05,max_min_proc,lowest_lower_bound,best_matching,bin_search,79,0.0308167934417725,0,2,True,2,79,0
2,2,5,0.05,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,79,0.0307183265686035,0,2,True,2,79,0
2,2,5,0.05,max_min_proc,depth_first,best_matching,lin_relax,79,0.00813627243041992,1,3,True,2,79,0
2,2,5,0.05,max_min_proc,depth_first,all_to_shortest,lin_relax,79,0.00811862945556641,1,3,True,2,79,0
2,2,5,0.05,max_min_proc,depth_first,best_matching,bin_search,79,0.0308473110198975,0,2,True,2,79,0
2,2,5,0.05,max_min_proc,depth_first,all_to_shortest,bin_search,79,0.0308065414428711,0,2,True,2,79,0
2,2,5,0.05,max_min_proc,breadth_first,best_matching,lin_relax,79,0.00818562507629395,1,3,True,2,79,0
2,2,5,0.05,max_min_proc,breadth_first,all_to_shortest,lin_relax,79,0.00812530517578125,1,3,True,2,79,0
2,2,5,0.05,max_min_proc,breadth_first,best_matching,bin_search,79,0.0305111408233643,0,2,True,2,79,0
2,2,5,0.05,max_min_proc,breadth_first,all_to_shortest,bin_search,79,0.0307168960571289,0,2,True,2,79,0
2,2,5,0.01,max_min_proc,lowest_lower_bound,best_matching,lin_relax,79,0.00817298889160156,1,3,True,2,79,0
2,2,5,0.01,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,79,0.00813364982604981,1,3,True,2,79,0
2,2,5,0.01,max_min_proc,lowest_lower_bound,best_matching,bin_search,79,0.030719518661499,0,2,True,2,79,0
2,2,5,0.01,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,79,0.0299451351165772,0,2,True,2,79,0
2,2,5,0.01,max_min_proc,depth_first,best_matching,lin_relax,79,0.00794196128845215,1,3,True,2,79,0
2,2,5,0.01,max_min_proc,depth_first,all_to_shortest,lin_relax,79,0.00809693336486816,1,3,True,2,79,0
2,2,5,0.01,max_min_proc,depth_first,best_matching,bin_search,79,0.0307748317718506,0,2,True,2,79,0
2,2,5,0.01,max_min_proc,depth_first,all_to_shortest,bin_search,79,0.0307743549346924,0,2,True,2,79,0
2,2,5,0.01,max_min_proc,breadth_first,best_matching,lin_relax,79,0.00817584991455078,1,3,True,2,79,0
2,2,5,0.01,max_min_proc,breadth_first,all_to_shortest,lin_relax,79,0.00815105438232422,1,3,True,2,79,0
2,2,5,0.01,max_min_proc,breadth_first,best_matching,bin_search,79,0.0307598114013672,0,2,True,2,79,0
2,2,5,0.01,max_min_proc,breadth_first,all_to_shortest,bin_search,79,0.0307149887084961,0,2,True,2,79,0
3,2,5,0.5,max_min_proc,lowest_lower_bound,best_matching,lin_relax,77,0.00532960891723633,0,2,True,2,77,0
3,2,5,0.5,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,77,0.00518155097961426,0,2,True,2,77,0
3,2,5,0.5,max_min_proc,lowest_lower_bound,best_matching,bin_search,77,0.0258865356445313,0,2,True,2,77,0
3,2,5,0.5,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,78,0.0258369445800781,0,2,True,2,77,0.0128205128205128
3,2,5,0.5,max_min_proc,depth_first,best_matching,lin_relax,77,0.00513696670532227,0,2,True,2,77,0
3,2,5,0.5,max_min_proc,depth_first,all_to_shortest,lin_relax,77,0.00509548187255859,0,2,True,2,77,0
3,2,5,0.5,max_min_proc,depth_first,best_matching,bin_search,77,0.0258419513702393,0,2,True,2,77,0
3,2,5,0.5,max_min_proc,depth_first,all_to_shortest,bin_search,78,0.0257198810577393,0,2,True,2,77,0.0128205128205128
3,2,5,0.5,max_min_proc,breadth_first,best_matching,lin_relax,77,0.00516033172607422,0,2,True,2,77,0
3,2,5,0.5,max_min_proc,breadth_first,all_to_shortest,lin_relax,77,0.00511884689331055,0,2,True,2,77,0
3,2,5,0.5,max_min_proc,breadth_first,best_matching,bin_search,77,0.025947093963623,0,2,True,2,77,0
3,2,5,0.5,max_min_proc,breadth_first,all_to_shortest,bin_search,78,0.0258145332336426,0,2,True,2,77,0.0128205128205128
3,2,5,0.1,max_min_proc,lowest_lower_bound,best_matching,lin_relax,77,0.0082552433013916,1,3,True,2,77,0
3,2,5,0.1,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,77,0.00821113586425781,1,3,True,2,77,0
3,2,5,0.1,max_min_proc,lowest_lower_bound,best_matching,bin_search,77,0.0257396697998047,0,2,True,2,77,0
3,2,5,0.1,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,78,0.025773286819458,0,2,True,2,77,0.0128205128205128
3,2,5,0.1,max_min_proc,depth_first,best_matching,lin_relax,77,0.0143389701843262,2,5,True,2,77,0
3,2,5,0.1,max_min_proc,depth_first,all_to_shortest,lin_relax,77,0.0143277645111084,2,5,True,2,77,0
3,2,5,0.1,max_min_proc,depth_first,best_matching,bin_search,77,0.0258164405822754,0,2,True,2,77,0
3,2,5,0.1,max_min_proc,depth_first,all_to_shortest,bin_search,78,0.0257339477539063,0,2,True,2,77,0.0128205128205128
3,2,5,0.1,max_min_proc,breadth_first,best_matching,lin_relax,77,0.011314868927002,1,4,True,2,77,0
3,2,5,0.1,max_min_proc,breadth_first,all_to_shortest,lin_relax,77,0.0112526416778564,1,4,True,2,77,0
3,2,5,0.1,max_min_proc,breadth_first,best_matching,bin_search,77,0.0257735252380371,0,2,True,2,77,0
3,2,5,0.1,max_min_proc,breadth_first,all_to_shortest,bin_search,78,0.0257582664489746,0,2,True,2,77,0.0128205128205128
